Gender,10th marks,12th marks,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?,10th board_CBSE,10th board_ICSE,10th board_State Board,10th board_WBBSE,12th board_BSEB,12th board_CBSE,12th board_CISCE,12th board_Diploma,12th board_Diploma board - MSBTE,12th board_ISC,12th board_ISE,12th board_MSBTE,12th board_Other state Board,12th board_WBBSE,12th board_WBCHSE,Stream_Chemical Engineering,Stream_Civil Engineering,Stream_Computer Science and Design,Stream_Computer Science and Engineering,Stream_Computer Science in AIML,Stream_Computer Science in Data Science,Stream_Electrical Engineering,Stream_Electrical and Electronics Engineering,Stream_Electronic Engineering,Stream_Electronics Engineering,Stream_Electronics and Communication Engineering,Stream_Electronics and Communication and Engineeing,Stream_IMsc Maths and Computing,Stream_Information Technology,Stream_Mechanical Engineering,Stream_Production Engineering
0,96.7,70.2,7.37,0,1,0,0.0,3,1.0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,96.2,90.6,9.35,0,0,0,1.0,4,0.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,97.5,69.6,7.84,0,1,0,1.0,3,1.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,96.9,77.6,7.87,1,0,1,1.0,2,1.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,99.1,62.8,9.26,1,1,0,1.0,1,1.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,85.5,86.0,9.2,1,0,0,1.0,2,1.0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,98.2,83.4,8.83,1,1,1,1.0,2,1.0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,79.4,82.1,7.52,1,0,0,1.0,3,1.0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,88.0,83.2,7.06,0,0,0,1.0,3,1.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,84.3,70.9,7.34,0,0,0,0.0,3,1.0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
